City,Body_Type,Ownerno,Company,Model,Modelyear,Variantname,Price,Registration_Year,Insurance_Validity,Fuel_Type,Seats,Kms_Driven,Transmission,Year_Of_Manufacture,Engine,Mileage,Age_Old_In_Year
chennai,Hatchback,1,Maruti,Baleno,2018,1.2 CVT,13.440089571204489,2018,Comprehensive,Petrol,5,70027,Automatic,2018,1197,21.4,6
chennai,Sedan,3,Hyundai,Sonata,2007,CRDi,12.230760380059866,2007,Third Party,Diesel,5,120000,Manual,2007,1991,13.6,17
chennai,Hatchback,2,Volkswagen,Polo,2015,1.2 MPI,13.17115354157376,2015,Third Party,Petrol,5,60000,Manual,2015,1199,16.2,9
chennai,Hatchback,1,Maruti,Swift,2017,VDI,13.337474757021274,2017,Third Party,Diesel,5,73686,Manual,2017,1248,25.2,7
chennai,SUV,2,Mahindra,TUV 300,2018,T8,13.623138665316818,2018,Comprehensive,Diesel,7,44000,Manual,2018,1493,18.49,6
chennai,Hatchback,1,Maruti,Swift,2015,VXI,13.180632285528304,2016,Comprehensive,Petrol,5,75581,Manual,2015,1197,21.21,8
chennai,SUV,1,Mercedes-Benz,M-Class,2015,ML 250,15.096444403426338,2016,Comprehensive,Diesel,5,58000,Automatic,2015,2143,15.26,8
chennai,Sedan,2,Audi,A3,2015,35 TDI,14.48333993053993,2015,Comprehensive,Diesel,5,50000,Automatic,2015,1968,20.38,9
chennai,SUV,1,Mahindra,TUV 300,2015,T8,13.38472764187182,2015,Third Party,Diesel,7,100000,Manual,2015,1493,18.49,9
chennai,Sedan,1,Maruti,Ciaz,2017,1.3 Sigma,13.38472764187182,2017,Third Party,Diesel,5,108902,Manual,2017,1248,28.09,7
chennai,Sedan,1,Volkswagen,Ameo,2016,1.5 TDI,13.253391639810731,2016,Comprehensive,Diesel,5,100425,Manual,2016,1498,21.66,8
chennai,Sedan,2,Hyundai,Xcent,2016,1.2 Kappa,13.03462446309632,2016,Third Party,Petrol,5,70887,Manual,2016,1197,19.1,8
chennai,Sedan,2,Honda,City,2016,i VTEC,13.265597545490236,2016,Comprehensive,Petrol,5,114981,Manual,2016,1497,17.8,8
chennai,SUV,1,Honda,WR-V,2018,i-VTEC,13.710150042306449,2018,Comprehensive,Petrol,5,45000,Manual,2018,1199,17.5,6
chennai,Hatchback,1,Hyundai,Grand i10 Nios,2021,Sportz,13.383187995686226,2021,Comprehensive,Petrol,5,45416,Manual,2021,1197,20.7,3
chennai,Hatchback,1,Hyundai,i20,2016,Asta,13.215853720491667,2016,Third Party,Petrol,5,119468,Manual,2016,1197,18.6,8
chennai,Sedan,3,Volkswagen,Vento,2015,1.5 TDI,13.38472764187182,2015,Third Party,Diesel,5,100000,Automatic,2015,1498,21.21,9
chennai,Sedan,1,Maruti,Swift Dzire,2017,VXI,13.149976598910118,2017,Third Party,Petrol,5,119975,Manual,2017,1197,22.41,7
chennai,Sedan,1,BMW,3 Series,2017,330i M,15.176487111099874,2017,Comprehensive,Petrol,5,19000,Automatic,2017,1998,15.34,7
chennai,Hatchback,2,Hyundai,Grand i10,2016,Magna,13.030245895511662,2016,Comprehensive,Petrol,5,64906,Manual,2016,1197,18.9,8
chennai,Hatchback,2,Maruti,Baleno,2016,Delta,13.12635340664001,2016,Comprehensive,Petrol,5,81484,Manual,2016,1197,21.4,8
chennai,Sedan,1,Maruti,Swift Dzire,2018,LXI,13.437174117244362,2018,Comprehensive,Petrol,5,45067,Manual,2018,1197,21.21,6
chennai,Sedan,1,Mercedes-Benz,S-Class,2018,Maybach S500,16.213405830762646,2018,Third Party,Petrol,4,68000,Automatic,2018,4663,7.81,6
chennai,Hatchback,1,Honda,Jazz,2016,1.2 S,13.270783382522602,2016,Comprehensive,Petrol,5,65768,Manual,2016,1199,18.7,8
chennai,Hatchback,2,Honda,Jazz,2016,1.2 VX,13.180632285528304,2016,Comprehensive,Petrol,5,61000,Manual,2016,1199,18.7,8
chennai,Sedan,3,Mercedes-Benz,S-Class,2009,320 CDI,14.346138809026444,2009,Comprehensive,Diesel,5,50000,Automatic,2009,2987,13.0,15
chennai,Sedan,1,BMW,5 Series,2018,520d Luxury,15.291417077773852,2018,Comprehensive,Diesel,5,23000,Automatic,2018,1995,18.12,6
chennai,Sedan,1,BMW,7 Series,2018,Signature,15.91964471223448,2019,Comprehensive,Diesel,5,17000,Automatic,2018,2993,16.46,5
chennai,Hatchback,1,Maruti,Celerio,2017,ZXI,12.948009990259552,2017,Comprehensive,Petrol,5,102958,Automatic,2017,998,23.1,7
chennai,Sedan,1,Toyota,Corolla Altis,2013,Diesel D4DG,13.560618308335483,2013,Comprehensive,Diesel,5,62900,Manual,2013,1364,21.43,11
chennai,Hatchback,2,Maruti,Wagon R,2015,VXI,12.88664104388326,2015,Comprehensive,Petrol,5,65076,Manual,2015,998,20.51,9
chennai,Hatchback,1,Maruti,Baleno,2016,Delta,13.186276703147982,2017,Comprehensive,Petrol,5,75876,Manual,2016,1197,21.4,7
chennai,Hatchback,1,Hyundai,i20,2015,Asta,13.21220408140412,2015,Third Party,Petrol,5,98911,Manual,2015,1197,18.6,9
chennai,Hatchback,1,Maruti,Celerio,2015,VXI,12.88664104388326,2015,Comprehensive,Petrol,5,45000,Manual,2015,998,23.1,9
chennai,Sedan,1,Hyundai,Verna,2017,CRDi,13.71899965758343,2017,Third Party,Diesel,5,76089,Automatic,2017,1582,19.08,7
chennai,Hatchback,2,Hyundai,Grand i10,2017,1.2 Kappa,13.163505320735505,2017,Third Party,Petrol,5,54505,Manual,2017,1197,18.9,7
chennai,Sedan,1,Audi,A3,2019,35 TDI,14.644062375530424,2020,Third Party,Diesel,5,24000,Automatic,2019,1968,20.38,4
chennai,Sedan,1,Maruti,Swift Dzire,2016,VXI,13.13626628257332,2016,Zero Dep,Petrol,5,96573,Manual,2016,1197,22.41,8
chennai,SUV,1,Kia,Seltos,2019,HTX,14.301018373745976,2019,Comprehensive,Diesel,5,30000,Automatic,2019,1493,18.0,5
chennai,Hatchback,2,Hyundai,Grand i10,2016,Asta,13.176851562688398,2016,Comprehensive,Petrol,5,63720,Manual,2016,1197,18.9,8
chennai,Hatchback,1,Maruti,Alto 800,2021,VXI,12.983099011217604,2021,Comprehensive,Petrol,5,14411,Manual,2021,796,22.05,3
chennai,SUV,1,Volkswagen,Taigun,2022,1.0 TSI,14.214286677921642,2022,Comprehensive,Petrol,5,11000,Automatic,2022,999,18.41,2
chennai,SUV,1,Skoda,Kushaq,2022,1.5 TSI,14.397725619157564,2022,Comprehensive,Petrol,5,21000,Automatic,2022,1498,18.86,2
chennai,SUV,1,Honda,WR-V,2017,i-VTEC,13.34550692871854,2017,Comprehensive,Petrol,5,34392,Manual,2017,1199,17.5,7
chennai,Hatchback,1,Hyundai,Grand i10 Nios,2022,Sportz,13.444446876573442,2022,Third Party,Petrol,5,20000,Manual,2022,1197,20.7,2
chennai,SUV,1,Kia,Sonet,2022,GTX Plus,14.115615150414612,2022,Third Party,Petrol,5,10000,Manual,2022,998,18.2,2
chennai,SUV,1,MG,Astor,2022,Savvy,14.253765488895429,2022,Third Party,Petrol,5,20000,Automatic,2022,1498,14.82,2
chennai,Hatchback,1,Toyota,Glanza,2019,V CVT,13.579788224443204,2019,Comprehensive,Petrol,5,47000,Automatic,2019,1197,19.56,5
chennai,Hatchback,2,Maruti,Alto K10,2014,VXI,12.506177237980513,2014,Comprehensive,Petrol,5,60333,Manual,2014,998,23.95,10
chennai,Hatchback,1,Hyundai,Grand i10,2014,CRDi,12.80765263256463,2014,Comprehensive,Diesel,5,81058,Manual,2014,1186,24.0,10
chennai,Sedan,2,Honda,Civic,2010,1.8 S,12.959844447906551,2010,Comprehensive,Petrol,5,51800,Manual,2010,1799,13.5,14
chennai,Hatchback,2,Hyundai,Grand i10,2016,Asta,13.176851562688398,2016,Comprehensive,Petrol,5,32797,Manual,2016,1197,18.9,8
